Year,COUNTRY,REGION,CATEGORY,,,,
2012,Italy,Europe,Explosion,,,,
2012,Syria,Asia,Explosion,,,,
2012,Ukraine,Europe,Explosion,,,,
2012,Afghanistan,Asia,Assault,,,,
2012,Thailand,,Explosion,,,,
2012,Iraq,,Explosion,,,,
2012,Syria,Asia,Explosion,,,,
2012,France,Europe,Unknown,,,,
2012,China,Asia,Assault,,,,
2012,Iraq,Asia,Explosion,,,,
2012,India,Asia,Explosion,,,,
2012,Syria,Asia,Explosion,,,,
2012,Nigeria,Africa,"Assault,Explosion",,,,
2012,Ethiopia,Africa,Hostage,,,,
2012,Iraq,,Explosion,,,,
2012,Pakistan,Asia,Explosion,,,,
2012,Iraq,Asia,"Assault,Explosion",,,,
2012,Nigeria,Africa,Assault,,,,
2012,Syria,Asia,Explosion,,,,
2012,Iraq,Asia,Explosion,,,,
