DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
4/7/2017,Sweden,Stockholm County,Stockholm,Northern Europe,Europe,Rakhmat Akilov,14,5,Five persons were killed when a truck driven by an Uzbek man steered into a pedestrian shopping street and a department store. 14 others were wounded. The police and the Government are treating it as a terrorist attack. The truck was hijacked just moments before the attack. The man admitted that he was inspired by Islamic State. ,"59.3251172,18.0710935",,2017
4/5/2017,Pakistan,Punjab,Lahore,Southern Asia,Asia,Taliban,19,8,A suicide bomber kills at least 8 people including 4 soldiers and another 19 people near a Pakistan Army vehicle taking part in the census in the city of Lahore. Tehreek i Taliban Pakistan claimed responsibility. ,"31.5656822,74.3141829",Explosion,2017
4/5/2017,Iraq,,,Western Asia,Asia,Islamic State,40,35,"Insurgents kills at least 35 people, including 14 security forces. The attack occurred in Tikrit and was claimed by Islamic State. ","33.0955793,44.1749775",,2017
4/3/2017,Russia,,Saint Petersburg,Eastern Europe,Europe,Imam Shamil Battalion,64,15,"A suicide bombing occurred on the St Petersburg Metro, on the day Vladimir Putin was due to visit the city. 16 people[citation needed] were killed in the attack, including the suicide bomber. 64 others were also injured. Russian media has reported that he travelled to Syria in 2014 and trained with militants. Imam Shamil Battalion, an Al Qaeda affiliate, claimed responsibility for the attack. ","64.6863136,97.7453061",Explosion,2017
3/31/2017,Pakistan,,,Southern Asia,Asia,Jamaat-ul-Ahrar,70,24,At least 24 people have been killed and more than 70 injured in a blast outside a mosque in north west Pakistan. Jamaat ul Ahrar claimed responsibility for the attack. ,"30.3308401,71.247499",Explosion,2017
3/25/2017,Bangladesh,,,,,Islamic State,40,7,"A suicide bombing killed 7 (four civilians and 3 police officers) and wounded more than 40 in South Surma Upazila, Bangladesh. Later, other bombs exploded and gunfire have occurred. Islamic State claimed responsibility. Three militants were also killed. ","24.4769288,90.2934413","Assault,Explosion",2017
3/22/2017,Nigeria,Borno,Maiduguri,Western Africa,Africa,Boko Haram,20,8,At least 8 people have been killed in multiple suicide blasts along a highway in Maiduguri. ,"11.8395375,13.1536214",Explosion,2017
3/22/2017,United Kingdom,England,London,Northern Europe,Europe,Khalid Masood,50,5,"52 year old Khalid Masood drove into pedestrians on Westminster Bridge, killing 4 and causing numerous injuries before crashing the car into the railings of the Palace of Westminster. The attacker then fled from the vehicle and attempted to gain access through the Palace gates, fatally stabbing a police officer before being shot dead by a plain clothes police officer. In total there were 50 injuries reported, 30 of which required hospital treatment, 7 of which were critical. ","51.5073219,-0.1276474",Assault,2017
3/20/2017,United States,New York,New York City,Northern America,Americas,White Supremacist,0,1,"James Harris Jackson, a white supremacist, stabbed an African American to death in New York. He revealed that he planned larger attacks against black men in New York's Times Square. ","40.7127281,-74.0060152",Assault,2017
3/17/2017,Bangladesh,Dhaka District,Dhaka,Southern Asia,Asia,Islamic State,2,0,"A suicide bomber blew himself up inside a camp of Bangladesh's anti crime Rapid Action Battalion, injuring 2 security personnel. ","23.7644025,90.389015",Explosion,2017
